rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
1,KSS,Kohl's Corp,11.72,41,249.8,,None,,Consumer Cyclical,Department Stores
2,BBWI,Bath & Body Works Inc,16.21,56,245.5,,Narrow,,Consumer Cyclical,Specialty Retail
3,ADNT,Adient PLC,20.64,69,234.3,5,Narrow,,Consumer Cyclical,Auto Parts
4,KLAR,Klarna Group PLC,15.55,45,189.4,,Narrow,,Technology,Software - Infrastructure
5,CHTR,Charter Communications Inc Class A,141.21,400,183.3,,Narrow,,Communication Services,Telecom Services
6,TME,Tencent Music Entertainment Group ADR,9.06,25,175.9,,Narrow,,Communication Services,Internet Content & Information
7,UA,Under Armour Inc Class C,4.93,13.6,175.9,,None,,Consumer Cyclical,Apparel Manufacturing
8,CPB,The Campbell's Co,20.34,56,175.3,,Wide,,Consumer Defensive,Packaged Foods
9,UAA,Under Armour Inc Class A,5.02,13.6,170.9,,None,,Consumer Cyclical,Apparel Manufacturing
10,KMX,CarMax Inc,37.05,99,167.2,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
11,WGO,Winnebago Industries Inc,29.04,76,161.7,,None,,Consumer Cyclical,Recreational Vehicles
12,CPRI,Capri Holdings Ltd,17.54,45.5,159.4,,None,,Consumer Cyclical,Luxury Goods
13,FLUT,Flutter Entertainment PLC,97.29,245,151.8,,Narrow,,Consumer Cyclical,Gambling
14,TEAM,Atlassian Corp Class A,89.44,220,146.0,,Narrow,,Technology,Software - Application
15,LULU,Lululemon Athletica Inc,120.26,295,145.3,,Narrow,,Consumer Cyclical,Apparel Retail
16,VFC,VF Corp,16.89,39.5,133.9,,None,,Consumer Cyclical,Apparel Manufacturing
17,NKE,Nike Inc Class B,42.57,97,127.9,,Wide,,Consumer Cyclical,Footwear & Accessories
18,RH,RH Class A,120.72,275,127.8,,None,,Consumer Cyclical,Specialty Retail
19,BAX,Baxter International Inc,17.79,40,124.8,,Narrow,,Healthcare,Medical Instruments & Supplies
20,CLVT,Clarivate PLC Ordinary Shares,2.51,5.5,119.1,,None,,Technology,Information Technology Services
21,CRSP,CRISPR Therapeutics AG,48.56,106,118.3,,None,,Healthcare,Biotechnology
22,HUBS,HubSpot Inc,208.51,450,115.8,,Narrow,,Technology,Software - Application
23,NTLA,Intellia Therapeutics Inc,12.69,27,112.8,,None,,Healthcare,Biotechnology
24,FRPT,Freshpet Inc,48.45,100,106.4,,None,,Consumer Defensive,Packaged Foods
25,PODD,Insulet Corp,152.49,314,105.9,,Narrow,,Healthcare,Medical Devices
26,PSKY,Paramount Skydance Corp Ordinary Shares - Class B,9.82,20,103.7,,None,,Communication Services,Entertainment
27,BLKB,Blackbaud Inc,32,65,103.1,,Narrow,,Technology,Software - Application
28,FISV,Fiserv Inc,56.66,115,103.0,,Narrow,,Technology,Information Technology Services
29,HUYA,HUYA Inc Class A,2.8,5.6,100.0,,None,,Communication Services,Entertainment
30,FIS,Fidelity National Information Services Inc,43.37,85,96.0,,Narrow,,Technology,Information Technology Services
31,CNH,CNH Industrial NV,10.5,20.5,95.2,,Narrow,,Industrials,Farm & Heavy Construction Machinery
32,STLA,Stellantis NV,7.41,14.4,94.3,,None,,Consumer Cyclical,Auto Manufacturers
33,BABA,Alibaba Group Holding Ltd ADR,133.26,258,93.6,,Wide,,Consumer Cyclical,Internet Retail
34,GPN,Global Payments Inc,68.67,131,90.8,,Narrow,,Industrials,Specialty Business Services
35,WU,The Western Union Co,8.46,16,89.1,,Narrow,,Financial Services,Credit Services
36,PRGO,Perrigo Co PLC,10.68,20,87.3,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
37,GNTX,Gentex Corp,22.68,42,85.2,,Narrow,,Consumer Cyclical,Auto Parts
38,FMC,FMC Corp,13.55,25,84.5,,Narrow,,Basic Materials,Agricultural Inputs
39,NICE,NICE Ltd ADR,92.41,170,84.0,,None,,Technology,Software - Application
40,DOCU,Docusign Inc,49.02,90,83.6,,None,,Technology,Software - Application
41,BILI,Bilibili Inc ADR,19.63,36,83.4,,None,,Communication Services,Internet Content & Information
42,LPLA,LPL Financial Holdings Inc,295.62,542,83.3,,Wide,,Financial Services,Capital Markets
43,SAP,SAP SE ADR,174.62,317,81.5,,Wide,,Technology,Software - Application
44,THO,Thor Industries Inc,73.81,134,81.5,,None,,Consumer Cyclical,Recreational Vehicles
45,BMRN,BioMarin Pharmaceutical Inc,49.67,90,81.2,,Narrow,,Healthcare,Biotechnology
46,PYPL,PayPal Holdings Inc,44.38,80,80.2,,Narrow,,Financial Services,Credit Services
47,ZTS,Zoetis Inc Class A,77.72,140,80.1,,Wide,,Healthcare,Drug Manufacturers - Specialty & Generic
48,KHC,The Kraft Heinz Co,23.35,42,79.9,,Narrow,,Consumer Defensive,Packaged Foods
49,TU,TELUS Corp,12.3,22,78.9,,Narrow,,Communication Services,Telecom Services
50,MKTX,MarketAxess Holdings Inc,141.11,250,77.2,,Wide,,Financial Services,Capital Markets
51,ABG,Asbury Automotive Group Inc,176.28,312,77.0,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
52,KBR,KBR Inc,32.24,57,76.8,,None,,Industrials,Engineering & Construction
53,NTES,NetEase Inc ADR,113.61,200,76.0,,Narrow,,Communication Services,Electronic Gaming & Multimedia
54,PK,Park Hotels & Resorts Inc,11.09,19.5,75.8,,None,,Real Estate,REIT - Hotel & Motel
55,CLX,Clorox Co,92.82,163,75.6,,Wide,,Consumer Defensive,Household & Personal Products
56,VEEV,Veeva Systems Inc Class A,163.85,287,75.2,,Wide,,Healthcare,Health Information Services
57,DKNG,DraftKings Inc Ordinary Shares - Class A,25.78,45,74.6,,Narrow,,Consumer Cyclical,Gambling
58,RGEN,Repligen Corp,104.2,180,72.7,,Narrow,,Healthcare,Medical Instruments & Supplies
59,SE,Sea Ltd ADR,88.29,152,72.2,,Narrow,,Consumer Cyclical,Internet Retail
60,ZS,Zscaler Inc,174.69,300,71.7,,Narrow,,Technology,Software - Infrastructure
61,CSGP,CoStar Group Inc,33.2,57,71.7,,Narrow,,Real Estate,Real Estate Services
62,VNT,Vontier Corp Ordinary Shares,27.99,48,71.5,,Narrow,,Technology,Scientific & Technical Instruments
63,FMS,Fresenius Medical Care AG ADR,22.22,38,71.0,,Narrow,,Healthcare,Medical Care Facilities
64,FICO,Fair Isaac Corp,1181.82,2020,70.9,,Wide,,Technology,Software - Application
65,CE,Celanese Corp Class A,55.75,95,70.4,,Narrow,,Basic Materials,Chemicals
66,GIS,General Mills Inc,33.45,57,70.4,,Narrow,,Consumer Defensive,Packaged Foods
67,BR,Broadridge Financial Solutions Inc,150.62,255,69.3,,Wide,,Technology,Information Technology Services
68,GIL,Gildan Activewear Inc,56.37,95,68.5,,Narrow,,Consumer Cyclical,Apparel Manufacturing
69,PVH,PVH Corp,80.33,135,68.1,,None,,Consumer Cyclical,Apparel Manufacturing
70,RELX,RELX PLC ADR,33.96,57,67.8,,Wide,,Industrials,Specialty Business Services
71,YUMC,Yum China Holdings Inc,45.48,76,67.1,,Wide,,Consumer Cyclical,Restaurants
72,VIPS,Vipshop Holdings Ltd ADR,13.94,23.3,67.1,,None,,Consumer Cyclical,Internet Retail
73,CHWY,Chewy Inc,21.63,36,66.4,,Narrow,,Consumer Cyclical,Internet Retail
74,TRU,TransUnion,68.6,114,66.2,,Wide,,Financial Services,Financial Data & Stock Exchanges
75,DHR,Danaher Corp,163.86,270,64.8,,Wide,,Healthcare,Diagnostics & Research
76,CMCSA,Comcast Corp Class A,24.93,41,64.5,,Narrow,,Communication Services,Telecom Services
77,EFX,Equifax Inc,164.23,270,64.4,,Wide,,Industrials,Consulting Services
78,CPNG,Coupang Inc Ordinary Shares - Class A,15.7,25.8,64.3,,Narrow,,Consumer Cyclical,Internet Retail
79,MBUU,Malibu Boats Inc Class A,25.62,42,63.9,,None,,Consumer Cyclical,Recreational Vehicles
80,NCLH,Norwegian Cruise Line Holdings Ltd,15.26,25,63.8,,Narrow,,Consumer Cyclical,Travel Services
81,MOS,The Mosaic Co,21.41,35,63.5,,None,,Basic Materials,Agricultural Inputs
82,CTSH,Cognizant Technology Solutions Corp Class A,51.4,84,63.4,,Narrow,,Technology,Information Technology Services
83,MLCO,Melco Resorts and Entertainment Ltd ADR,5.53,9,62.7,,Narrow,,Consumer Cyclical,Resorts & Casinos
84,PDD,PDD Holdings Inc ADR,94.97,154,62.2,,Narrow,,Consumer Cyclical,Internet Retail
85,TRI,Thomson Reuters Corp,90,146,62.2,,Narrow,,Industrials,Specialty Business Services
86,AUR,Aurora Innovation Inc Class A,7.42,12,61.7,,None,,Consumer Cyclical,Auto Parts
87,SARO,StandardAero Inc,25.74,41.5,61.2,,Narrow,,Industrials,Aerospace & Defense
88,PEGA,Pegasystems Inc,34.15,55,61.1,,None,,Technology,Software - Application
89,LAD,Lithia Motors Inc Class A,264.89,426,60.8,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
90,GWRE,Guidewire Software Inc,137.09,220,60.5,,Wide,,Technology,Software - Application
91,AMCR,Amcor PLC Ordinary Shares,37.49,60,60.0,4,Narrow,,Consumer Cyclical,Packaging & Containers
92,NOW,ServiceNow Inc,103.42,165,59.5,,Narrow,,Technology,Software - Application
93,GRAB,Grab Holdings Ltd Class A,3.54,5.6,58.2,,None,,Technology,Software - Application
94,BDX,Becton Dickinson & Co,142.35,225,58.1,,Narrow,,Healthcare,Medical Instruments & Supplies
95,CHKP,Check Point Software Technologies Ltd,127.28,201,57.9,,Narrow,,Technology,Software - Infrastructure
96,PHG,Koninklijke Philips NV ADR,26.05,41,57.4,,Wide,,Healthcare,Medical Devices
97,TRIP,Tripadvisor Inc,9.53,15,57.4,,None,,Consumer Cyclical,Travel Services
98,OMC,Omnicom Group Inc,73.14,115,57.2,,Narrow,,Communication Services,Advertising Agencies
99,MGNI,Magnite Inc,13.39,21,56.8,,None,,Communication Services,Advertising Agencies
100,APH,Amphenol Corp Class A,121.72,190,56.1,4,Wide,,Technology,Electronic Components
101,CRM,Salesforce Inc,179.48,280,56.0,,Narrow,,Technology,Software - Application
102,TYL,Tyler Technologies Inc,320.79,500,55.9,,Wide,,Technology,Software - Application
103,IQV,IQVIA Holdings Inc,172.81,268,55.1,,Narrow,,Healthcare,Diagnostics & Research
104,MQ,Marqeta Inc Class A,3.94,6.1,54.8,,None,,Technology,Software - Infrastructure
105,ACM,AECOM,71.49,110,53.9,4,None,,Industrials,Engineering & Construction
106,MAT,Mattel Inc,14.94,23,53.9,,Narrow,,Consumer Cyclical,Leisure
107,GLOB,Globant SA,39.85,61,53.1,,None,,Technology,Information Technology Services
108,ZBH,Zimmer Biomet Holdings Inc,85.14,130,52.7,,Wide,,Healthcare,Medical Devices
