code,buy,confirm,old_t,new_t,diff
000043,07-06 15:00前,07-08,2,1,YES
000217,07-06 15:00前,07-07,1,1,
000480,07-06 15:00前,07-07,1,1,
000834,07-06 15:00前,07-08,2,1,YES
001480,07-06 15:00前,07-07,1,1,
001595,07-06 15:00前,07-07,1,1,
001608,07-06 15:00前,07-07,1,1,
002067,07-06 15:00前,07-07,1,1,
002112,06-29 15:00前,06-30,1,1,
002207,07-06 15:00前,07-07,1,1,
002611,07-06 15:00前,07-07,1,1,
002833,07-06 15:00前,07-07,1,1,
002834,07-06 15:00前,07-07,1,1,
002891,06-29 15:00前,07-01,2,1,YES
003328,07-06 15:00前,07-07,1,1,
003547,07-06 15:00前,07-07,1,1,
003985,07-06 15:00前,07-07,1,1,
004228,07-06 15:00前,07-07,1,1,
004253,07-06 15:00前,07-07,1,1,
004400,07-06 15:00前,07-07,1,1,
004401,07-06 15:00前,07-07,1,1,
004406,07-06 15:00前,07-07,1,1,
004972,07-06 15:00前,07-07,1,1,
005359,07-06 15:00前,07-07,1,1,
005629,07-06 15:00前,07-07,1,1,
005698,06-29 15:00前,07-01,2,1,YES
005844,07-06 15:00前,07-07,1,1,
005959,07-06 15:00前,07-07,1,1,
006373,07-06 15:00前,07-08,2,1,YES
006479,07-06 15:00前,07-08,2,1,YES
006502,07-06 15:00前,07-07,1,1,
006503,07-06 15:00前,07-07,1,1,
006523,07-06 15:00前,07-07,1,1,
006555,07-06 15:00前,07-08,2,1,YES
007091,07-06 15:00前,07-07,1,1,
007194,07-06 15:00前,07-07,1,1,
007280,07-06 15:00前,07-07,1,1,
007491,07-06 15:00前,07-07,1,1,
007721,07-06 15:00前,07-08,2,1,YES
007818,07-06 15:00前,07-07,1,1,
007874,07-06 15:00前,07-07,1,1,
008020,07-06 15:00前,07-07,1,1,
008253,06-29 15:00前,07-01,2,1,YES
008254,07-06 15:00前,07-08,2,1,YES
008555,07-06 15:00前,07-07,1,1,
008763,07-06 15:00前,07-08,2,1,YES
008887,07-06 15:00前,07-07,1,1,
008888,07-06 15:00前,07-07,1,1,
008920,07-06 15:00前,07-07,1,1,
008971,07-06 15:00前,07-08,2,1,YES
008984,07-06 15:00前,07-07,1,1,
008988,07-06 15:00前,07-07,1,1,
008989,07-06 15:00前,07-07,1,1,
009062,07-06 15:00前,07-07,1,1,
009063,07-06 15:00前,07-07,1,1,
009505,07-06 15:00前,07-07,1,1,
009645,07-06 15:00前,07-07,1,1,
009883,07-06 15:00前,07-07,1,1,
009995,07-06 15:00前,07-07,1,1,
010416,07-06 15:00前,07-07,1,1,
010421,07-06 15:00前,07-07,1,1,
010524,07-06 15:00前,07-07,1,1,
010623,07-06 15:00前,07-07,1,1,
011036,07-06 15:00前,07-07,1,1,
011120,07-06 15:00前,07-07,1,1,
011369,07-06 15:00前,07-07,1,1,
011370,07-06 15:00前,07-07,1,1,
011452,06-29 15:00前,06-30,1,1,
011609,07-06 15:00前,07-07,1,1,
011829,07-06 15:00前,07-07,1,1,
011840,07-06 15:00前,07-07,1,1,
012615,07-06 15:00前,07-07,1,1,
012620,07-06 15:00前,07-07,1,1,
012752,07-06 15:00前,07-08,2,1,YES
012863,07-06 15:00前,07-07,1,1,
012868,07-06 15:00前,07-08,2,1,YES
012920,06-29 15:00前,07-01,2,1,YES
012922,06-29 15:00前,07-01,2,1,YES
013073,07-06 15:00前,07-07,1,1,
013081,07-06 15:00前,07-07,1,1,
013179,07-06 15:00前,07-07,1,1,
013305,07-06 15:00前,07-07,1,1,
013340,07-06 15:00前,07-07,1,1,
013346,07-06 15:00前,07-07,1,1,
013470,07-06 15:00前,07-07,1,1,
013840,07-06 15:00前,07-07,1,1,
013841,07-06 15:00前,07-07,1,1,
014002,07-06 15:00前,07-08,2,1,YES
014143,07-06 15:00前,07-07,1,1,
014300,07-06 15:00前,07-07,1,1,
014320,07-06 15:00前,07-07,1,1,
014344,07-06 15:00前,07-07,1,1,
014415,07-06 15:00前,07-07,1,1,
014419,07-06 15:00前,07-07,1,1,
014581,07-06 15:00前,07-07,1,1,
014674,07-06 15:00前,07-07,1,1,
014915,07-06 15:00前,07-07,1,1,
014916,07-06 15:00前,07-07,1,1,
014925,07-06 15:00前,07-07,1,1,
014978,07-06 15:00前,07-08,2,1,YES
015053,07-06 15:00前,07-07,1,1,
015159,07-06 15:00前,07-07,1,1,
015299,07-06 15:00前,07-08,2,1,YES
015300,07-06 15:00前,07-08,2,1,YES
015311,07-06 15:00前,07-07,1,1,
015401,07-06 15:00前,07-07,1,1,
015528,07-06 15:00前,07-07,1,1,
015740,07-06 15:00前,07-07,1,1,
015829,07-06 15:00前,07-07,1,1,
015867,07-06 15:00前,07-07,1,1,
015877,07-06 15:00前,07-07,1,1,
015916,07-06 15:00前,07-07,1,1,
015967,07-06 15:00前,07-07,1,1,
015968,07-06 15:00前,07-07,1,1,
016055,07-06 15:00前,07-08,2,1,YES
016057,07-06 15:00前,07-08,2,1,YES
016371,07-06 15:00前,07-07,1,1,
016452,06-29 15:00前,07-01,2,1,YES
016453,07-06 15:00前,07-08,2,1,YES
016501,07-06 15:00前,07-07,1,1,
016532,07-06 15:00前,07-08,2,1,YES
016533,07-06 15:00前,07-08,2,1,YES
016664,07-06 15:00前,07-08,2,1,YES
016665,07-06 15:00前,07-08,2,1,YES
016668,07-06 15:00前,07-08,2,1,YES
016701,07-06 15:00前,07-08,2,1,YES
016702,07-06 15:00前,07-08,2,1,YES
016721,07-06 15:00前,07-07,1,1,
016823,07-06 15:00前,07-08,2,1,YES
016874,07-06 15:00前,07-07,1,1,
017057,07-06 15:00前,07-07,1,1,
017091,07-06 15:00前,07-08,2,1,YES
017093,07-06 15:00前,07-08,2,1,YES
017192,07-06 15:00前,07-07,1,1,
017436,07-06 15:00前,07-08,2,1,YES
017470,07-06 15:00前,07-07,1,1,
017488,07-06 15:00前,07-07,1,1,
017490,07-06 15:00前,07-07,1,1,
017491,07-06 15:00前,07-07,1,1,
017528,07-06 15:00前,07-07,1,1,
017610,07-06 15:00前,07-07,1,1,
017641,07-06 15:00前,07-08,2,1,YES
017653,07-06 15:00前,07-08,2,1,YES
017654,07-06 15:00前,07-08,2,1,YES
017730,07-06 15:00前,07-08,2,1,YES
017731,07-06 15:00前,07-08,2,1,YES
017811,07-06 15:00前,07-07,1,1,
017894,07-06 15:00前,07-08,2,1,YES
018036,07-06 15:00前,07-08,2,1,YES
018043,07-06 15:00前,07-08,2,1,YES
018123,07-06 15:00前,07-07,1,1,
018147,06-29 15:00前,07-01,2,1,YES
018155,07-06 15:00前,07-08,2,1,YES
018229,07-06 15:00前,07-08,2,1,YES
018230,07-06 15:00前,07-08,2,1,YES
018291,07-06 15:00前,07-07,1,1,
018386,07-06 15:00前,07-07,1,1,
018387,07-06 15:00前,07-07,1,1,
018816,07-06 15:00前,07-07,1,1,
018823,07-06 15:00前,07-07,1,1,
018957,07-06 15:00前,07-07,1,1,
018964,07-06 15:00前,07-07,1,1,
018967,07-06 15:00前,07-08,2,1,YES
019005,07-06 15:00前,07-07,1,1,
019018,07-06 15:00前,07-07,1,1,
019118,07-06 15:00前,07-08,2,1,YES
019172,07-06 15:00前,07-08,2,1,YES
019173,07-06 15:00前,07-08,2,1,YES
019305,07-06 15:00前,07-08,2,1,YES
019330,07-06 15:00前,07-07,1,1,
019441,07-06 15:00前,07-08,2,1,YES
019442,07-06 15:00前,07-08,2,1,YES
019454,07-06 15:00前,07-07,1,1,
019525,07-06 15:00前,07-08,2,1,YES
019547,07-06 15:00前,07-08,2,1,YES
019548,07-06 15:00前,07-08,2,1,YES
019593,07-06 15:00前,07-07,1,1,
019633,07-06 15:00前,07-07,1,1,
019736,07-06 15:00前,07-08,2,1,YES
019858,07-06 15:00前,07-07,1,1,
019875,07-06 15:00前,07-07,1,1,
019898,07-06 15:00前,07-07,1,1,
019924,07-06 15:00前,07-07,1,1,
020357,07-06 15:00前,07-07,1,1,
020412,07-06 15:00前,07-07,1,1,
020457,07-06 15:00前,07-07,1,1,
020470,07-06 15:00前,07-07,1,1,
020629,07-06 15:00前,07-07,1,1,
020900,07-06 15:00前,07-07,1,1,
020916,07-06 15:00前,07-07,1,1,
021141,07-06 15:00前,07-07,1,1,
021142,07-06 15:00前,07-07,1,1,
021190,07-06 15:00前,07-08,2,1,YES
021277,07-06 15:00前,07-08,2,1,YES
021511,07-06 15:00前,07-07,1,1,
021513,07-06 15:00前,07-07,1,1,
021523,07-06 15:00前,07-07,1,1,
021528,06-29 15:00前,06-30,1,1,
021533,07-06 15:00前,07-07,1,1,
021662,07-06 15:00前,07-08,2,1,YES
021674,07-06 15:00前,07-07,1,1,
021740,07-06 15:00前,07-07,1,1,
021842,07-06 15:00前,07-08,2,1,YES
021876,07-06 15:00前,07-07,1,1,
021893,07-06 15:00前,07-07,1,1,
022184,07-06 15:00前,07-08,2,1,YES
022364,07-06 15:00前,07-07,1,1,
022365,07-06 15:00前,07-07,1,1,
022522,07-06 15:00前,07-07,1,1,
023652,07-06 15:00前,07-07,1,1,
023860,07-06 15:00前,07-07,1,1,
024074,07-06 15:00前,07-07,1,1,
024203,07-06 15:00前,07-07,1,1,
024239,07-06 15:00前,07-08,2,1,YES
024328,07-06 15:00前,07-07,1,1,
024329,07-06 15:00前,07-07,1,1,
024418,07-06 15:00前,07-07,1,1,
024424,07-06 15:00前,07-07,1,1,
024481,07-06 15:00前,07-07,1,1,
024593,07-06 15:00前,07-07,1,1,
024605,07-06 15:00前,07-07,1,1,
024663,07-06 15:00前,07-07,1,1,
024692,07-06 15:00前,07-07,1,1,
024781,07-06 15:00前,07-07,1,1,
025209,07-06 15:00前,07-07,1,1,
025318,07-06 15:00前,07-07,1,1,
025500,07-06 15:00前,07-07,1,1,
025547,07-06 15:00前,07-07,1,1,
025660,07-06 15:00前,07-07,1,1,
025687,07-06 15:00前,07-07,1,1,
025778,07-06 15:00前,07-07,1,1,
025833,07-06 15:00前,07-07,1,1,
026095,07-06 15:00前,07-07,1,1,
026211,06-29 15:00前,06-30,1,1,
026448,07-06 15:00前,07-07,1,1,
026623,07-06 15:00前,07-07,1,1,
026633,07-06 15:00前,07-07,1,1,
026685,07-06 15:00前,07-07,1,1,
027063,07-06 15:00前,07-07,1,1,
040046,07-06 15:00前,07-08,2,1,YES
050025,07-06 15:00前,07-08,2,1,YES
100055,07-06 15:00前,07-08,2,1,YES
110020,07-06 15:00前,07-07,1,1,
150108,,,,,
150122,,,,,
160213,07-06 15:00前,07-08,2,1,YES
160644,07-06 15:00前,07-08,2,1,YES
161125,07-06 15:00前,07-08,2,1,YES
161128,07-06 15:00前,07-08,2,1,YES
161130,07-06 15:00前,07-08,2,1,YES
161226,07-06 15:00前,07-07,1,1,
164212,07-06 15:00前,07-08,2,1,YES
257070,07-06 15:00前,07-07,1,1,
270023,07-06 15:00前,07-08,2,1,YES
270042,07-06 15:00前,07-08,2,1,YES
290008,07-06 15:00前,07-07,1,1,
320013,07-06 15:00前,07-08,2,1,YES
320016,07-06 15:00前,07-07,1,1,
378006,07-06 15:00前,07-08,2,1,YES
378546,07-06 15:00前,07-08,2,1,YES
400030,07-06 15:00前,07-07,1,1,
457001,07-06 15:00前,07-08,2,1,YES
501026,07-06 15:00前,07-07,1,1,
501205,07-06 15:00前,07-07,1,1,
501225,07-06 15:00前,07-08,2,1,YES
501226,07-06 15:00前,07-08,2,1,YES
501312,07-06 15:00前,07-08,2,1,YES
519673,07-06 15:00前,07-07,1,1,
519674,07-06 15:00前,07-07,1,1,
539001,07-06 15:00前,07-08,2,1,YES
539002,07-06 15:00前,07-08,2,1,YES
720001,07-06 15:00前,07-07,1,1,
968061,07-06 15:00前,07-07,1,1,
