TOTAL: 77 traders

name                   trades funds       last stale      cat
风云42号                    491   26 2026-07-14    1  QUALITY
我要回报以歌                   528   88 2026-07-13    2  QUALITY
jd_135013tkf            1299  208 2026-07-14    1  QUALITY
金京有位                     446   43 2026-07-14    1  QUALITY
阔爷88                    1071  183 2026-07-14    1  QUALITY
纸飞机起航                   1700   33 2026-07-09    6  QUALITY
蓝鲸跃财                    1139  149 2026-07-14    1  QUALITY
s种花家                      62   12 2026-06-30   15  QUALITY
丹辰无双                    2161  186 2026-07-14    1  QUALITY
京东-和路雪                   158   31 2026-07-13    2  QUALITY
jd332099ifj              228   15 2026-07-06    9  QUALITY
热烈的心愿                    329    6 2026-07-10    5  QUALITY
iBlack                   224   29 2026-07-14    1  QUALITY
无聊透顶                     905   90 2026-07-14    1  QUALITY
萧笑笑儿                     821   87 2026-07-14    1  QUALITY
xuelou123                 95    9 2026-07-14    1  QUALITY
家庭的温暖                   1447  187 2026-07-14    1  QUALITY
布布养基吃肉版                 1216   87 2026-07-14    1  QUALITY
mai下京东                   188   18 2026-07-14    1  QUALITY
红肥绿瘦                     322   82 2026-07-14    1  QUALITY
黑夜银翼                      71   16 2026-07-13    2  QUALITY
西西的金算盘                  1375   53 2026-07-14    1  QUALITY
南山隐士                     698   64 2026-07-14    1  QUALITY
小虎爱理财                   3074  152 2026-07-14    1  QUALITY
Daydayup哆啦咪             2955   98 2026-07-14    1  QUALITY
eswd64rgqhcx04            77   12 2026-07-14    1  QUALITY
红豆的甜美                   3817  177 2026-07-14    1  QUALITY
家里小狗爱吃锅包肉                849  113 2026-07-10    5  QUALITY
小猫咪爱赚钱                   796   71 2026-07-14    1  QUALITY
赚自己认知内的钱                3823  277 2026-07-14    1  QUALITY
璎珞儿姐姐                   2171  116 2026-07-14    1  QUALITY
天海长风                     206   33 2026-07-14    1  QUALITY
Merci                    136   32 2026-07-13    2  QUALITY
欣欣来了                     136   31 2026-07-14    1  QUALITY
招财小小猫                   1480   77 2026-07-14    1  QUALITY
瀚仔                       415   59 2026-07-14    1  QUALITY
布丁爱理财                    803   68 2026-07-14    1  QUALITY
枪手日日野                    765   54 2026-07-14    1  QUALITY
i人与人                      75   30 2026-07-14    1  QUALITY
Z先生养基                   3727  106 2026-07-14    1  QUALITY
晴空万里理财                  3356  139 2026-07-14    1  QUALITY
王晴阳的活财之路                1490   55 2026-07-14    1  QUALITY
uid_3123736              106    6 2026-07-09    6  QUALITY
uid_3430161              179   49 2026-07-09    6  QUALITY
uid_11819815              75   10 2026-07-09    6  QUALITY
uid_4019495              187   54 2026-07-14    1  QUALITY
简单生活快乐买基                  97   41 2026-07-14    1  QUALITY
59106b4s1qx9m8            27    9 2026-07-08    7      MID
jd_139311kaq              20   15 2026-07-03   12      MID
jd_无限宽容2015              519    3 2026-07-13    2      MID
S***3                     55   15 2026-06-08   37      MID
羊小米米                      21   16 2026-06-29   16      MID
野生月光                      23    8 2026-06-16   29      MID
时令的香气                     23    3 2026-05-27   49      MID
9j1a9wf38qlj05            46   20 2026-06-26   19      MID
r2b4mm433m54wi            40   21 2026-07-10    5      MID
那风飘飘                      21    7 2026-06-24   21      MID
给自己的家                     65   24 2026-06-10   35      MID
-咫尺-天涯-                   20    5 2026-06-11   34      MID
jd_153130wko              32   12 2026-07-08    7      MID
uid_183856                34    4 2026-07-14    1      MID
uid_2664186               24    8 2026-06-26   19      MID
uid_985820                27   13 2026-07-10    5      MID
uid_3714529               33   12 2026-07-13    2      MID
uid_570540                42    8 2026-07-10    5      MID
uid_1133060               43    8 2026-07-15    0      MID
uid_3033603               40   12 2026-07-13    2      MID
uid_12891831              30   11 2026-07-15    0      MID
ZHCZJN                    90   14 2026-04-30   76       OK
h***g                     96   18 2026-04-21   85       OK
uid_10542838               6    1 2026-06-30   15       OK
uid_3200056               12    8 2026-06-22   23       OK
uid_11285806               7    6 2026-06-17   28       OK
uid_2705091                2    2 2026-07-15    0       OK
uid_1096064                5    3 2026-07-02   13       OK
uid_1130028                2    2 2026-06-30   15       OK
uid_2880111                6    6 2026-06-15   30       OK
------------------------------------------------------------

QUALITY=47 MID=21 OK=9 ZOMBIE=0
